Name;City;Country;ICAO;;;;
Goroka Airport;Goroka;Papua New Guinea;AYGA;;;;
Madang Airport;Madang;Papua New Guinea;AYMD;;;;
Mount Hagen Kagamuga Airport;Mount Hagen;Papua New Guinea;AYMH;;;;
Nadzab Airport;Nadzab;Papua New Guinea;AYNZ;;;;
Port Moresby Jacksons International Airport;Port Moresby;Papua New Guinea;AYPY;;;;
Wewak International Airport;Wewak;Papua New Guinea;AYWK;;;;
Narsarsuaq Airport;Narssarssuaq;Greenland;BGBW;;;;
Godthaab / Nuuk Airport;Godthaab;Greenland;BGGH;;;;
Kangerlussuaq Airport;Sondrestrom;Greenland;BGSF;;;;
Thule Air Base;Thule;Greenland;BGTL;;;;
Akureyri Airport;Akureyri;Iceland;BIAR;;;;
Egilsstaðir Airport;Egilsstadir;Iceland;BIEG;;;;
Hornafjörður Airport;Hofn;Iceland;BIHN;;;;
Húsavík Airport;Husavik;Iceland;BIHU;;;;
Ísafjörður Airport;Isafjordur;Iceland;BIIS;;;;
Keflavik International Airport;Keflavik;Iceland;BIKF;;;;
Patreksfjörður Airport;Patreksfjordur;Iceland;BIPA;;;;
Reykjavik Airport;Reykjavik;Iceland;BIRK;;;;
Siglufjörður Airport;Siglufjordur;Iceland;BISI;;;;
Vestmannaeyjar Airport;Vestmannaeyjar;Iceland;BIVM;;;;
Sault Ste Marie Airport;Sault Sainte Marie;Canada;CYAM;;;;
Winnipeg / St. Andrews Airport;Winnipeg;Canada;CYAV;;;;
Halifax / CFB Shearwater Heliport;Halifax;Canada;CYAW;;;;
St. Anthony Airport;St. Anthony;Canada;CYAY;;;;
Tofino / Long Beach Airport;Tofino;Canada;CYAZ;;;;
Kugaaruk Airport;Pelly Bay;Canada;CYBB;;;;
Baie Comeau Airport;Baie Comeau;Canada;CYBC;;;;
CFB Bagotville;Bagotville;Canada;CYBG;;;;
Baker Lake Airport;Baker Lake;Canada;CYBK;;;;
Campbell River Airport;Campbell River;Canada;CYBL;;;;
Brandon Municipal Airport;Brandon;Canada;CYBR;;;;
Cambridge Bay Airport;Cambridge Bay;Canada;CYCB;;;;
Nanaimo Airport;Nanaimo;Canada;CYCD;;;;
Castlegar/West Kootenay Regional Airport;Castlegar;Canada;CYCG;;;;
Miramichi Airport;Chatham;Canada;CYCH;;;;
Charlo Airport;Charlo;Canada;CYCL;;;;
Kugluktuk Airport;Coppermine;Canada;CYCO;;;;
Coronation Airport;Coronation;Canada;CYCT;;;;
Chilliwack Airport;Chilliwack;Canada;CYCW;;;;
Clyde River Airport;Clyde River;Canada;CYCY;;;;
Coral Harbour Airport;Coral Harbour;Canada;CYZS;;;;
Dawson City Airport;Dawson;Canada;CYDA;;;;
Burwash Airport;Burwash;Canada;CYDB;;;;
Princeton Airport;Princeton;Canada;CYDC;;;;
Deer Lake Airport;Deer Lake;Canada;CYDF;;;;
Dease Lake Airport;Dease Lake;Canada;CYDL;;;;
Dauphin Barker Airport;Dauphin;Canada;CYDN;;;;
Dawson Creek Airport;Dawson Creek;Canada;CYDQ;;;;
Edmonton International Airport;Edmonton;Canada;CYEG;;;;
Arviat Airport;Eskimo Point;Canada;CYEK;;;;
Estevan Airport;Estevan;Canada;CYEN;;;;
Edson Airport;Edson;Canada;CYET;;;;
Eureka Airport;Eureka;Canada;CYEU;;;;
Inuvik Mike Zubko Airport;Inuvik;Canada;CYEV;;;;
Iqaluit Airport;Iqaluit;Canada;CYFB;;;;
Fredericton Airport;Fredericton;Canada;CYFC;;;;
Forestville Airport;Forestville;Canada;CYFE;;;;
Flin Flon Airport;Flin Flon;Canada;CYFO;;;;
Fort Resolution Airport;Fort Resolution;Canada;CYFR;;;;
Fort Simpson Airport;Fort Simpson;Canada;CYFS;;;;
Kingston Norman Rogers Airport;Kingston;Canada;CYGK;;;;
La Grande Rivière Airport;La Grande Riviere;Canada;CYGL;;;;
Gaspé (Michel-Pouliot) Airport;Gaspe;Canada;CYGP;;;;
Geraldton Greenstone Regional Airport;Geraldton;Canada;CYGQ;;;;
Îles-de-la-Madeleine Airport;Iles De La Madeleine;Canada;CYGR;;;;
Hudson Bay Airport;Hudson Bay;Canada;CYHB;;;;
Dryden Regional Airport;Dryden;Canada;CYHD;;;;
Ulukhaktok Holman Airport;Holman Island;Canada;CYHI;;;;
Gjoa Haven Airport;Gjoa Haven;Canada;CYHK;;;;
John C. Munro Hamilton International Airport;Hamilton;Canada;CYHM;;;;
Montréal / Saint-Hubert Airport;Montreal;Canada;CYHU;;;;
Hay River / Merlyn Carter Airport;Hay River;Canada;CYHY;;;;
Halifax / Stanfield International Airport;Halifax;Canada;CYHZ;;;;
Atikokan Municipal Airport;Atikokan;Canada;CYIB;;;;
Pond Inlet Airport;Pond Inlet;Canada;CYIO;;;;
St Jean Airport;St. Jean;Canada;CYJN;;;;
Stephenville Airport;Stephenville;Canada;CYJT;;;;
Kamloops Airport;Kamloops;Canada;CYKA;;;;
Waterloo Airport;Waterloo;Canada;CYKF;;;;
Schefferville Airport;Schefferville;Canada;CYKL;;;;
Kindersley Airport;Kindersley;Canada;CYKY;;;;
Buttonville Municipal Airport;Toronto;Canada;CYKZ;;;;
Chapleau Airport;Chapleau;Canada;CYLD;;;;
Meadow Lake Airport;Meadow Lake;Canada;CYLJ;;;;
Lloydminster Airport;Lloydminster;Canada;CYLL;;;;
Alert Airport;Alert;Canada;CYLT;;;;
Kelowna International Airport;Kelowna;Canada;CYLW;;;;
Mayo Airport;Mayo;Canada;CYMA;;;;
Moose Jaw Air Vice Marshal C. M. McEwen Airport;Moose Jaw;Canada;CYMJ;;;;
Fort McMurray Airport;Fort Mcmurray;Canada;CYMM;;;;
Moosonee Airport;Moosonee;Canada;CYMO;;;;
Maniwaki Airport;Maniwaki;Canada;CYMW;;;;
Montreal International (Mirabel) Airport;Montreal;Canada;CYMX;;;;
Natashquan Airport;Natashquan;Canada;CYNA;;;;
Ottawa / Gatineau Airport;Gatineau;Canada;CYND;;;;
Matagami Airport;Matagami;Canada;CYNM;;;;
Old Crow Airport;Old Crow;Canada;CYOC;;;;
CFB Cold Lake;Cold Lake;Canada;CYOD;;;;
High Level Airport;High Level;Canada;CYOJ;;;;
Ottawa Macdonald-Cartier International Airport;Ottawa;Canada;CYOW;;;;
Prince Albert Glass Field;Prince Albert;Canada;CYPA;;;;
Peace River Airport;Peace River;Canada;CYPE;;;;
Southport Airport;Portage-la-prairie;Canada;CYPG;;;;
Pitt Meadows Airport;Pitt Meadows;Canada;CYPK;;;;
Pickle Lake Airport;Pickle Lake;Canada;CYPL;;;;
Port Menier Airport;Port Menier;Canada;CYPN;;;;
Peterborough Airport;Peterborough;Canada;CYPQ;;;;
Prince Rupert Airport;Prince Pupert;Canada;CYPR;;;;
Fort Chipewyan Airport;Fort Chipewyan;Canada;CYPY;;;;
Muskoka Airport;Muskoka;Canada;CYQA;;;;
